Item_Identifier,Item_Fat_Content,Item_Type,Outlet_Establishment_Year,Outlet_Identifier,Outlet_Location_Type,Outlet_Size,Outlet_Type,Item_Weight,Sales
FDW09,Regular,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,14,81
FDN58,Regular,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,14,231
FDA23,Low Fat,Baking Goods,2020,OUT017,Tier 2,Medium,Supermarket Type1,10,102
FDR02,Low Fat,Dairy,2020,OUT017,Tier 2,Medium,Supermarket Type1,17,113
FDT36,Low Fat,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,12,36
FDQ12,Low Fat,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,13,231
FDS23,Low Fat,Breads,2015,OUT045,Tier 2,Medium,Supermarket Type1,5,127
FDS35,Low Fat,Breads,2015,OUT045,Tier 2,Medium,Supermarket Type1,9,65
FDX59,Low Fat,Breads,2015,OUT045,Tier 2,Medium,Supermarket Type1,10,35
FDF14,Low Fat,Canned,2015,OUT045,Tier 2,Medium,Supermarket Type1,8,153
FDU25,Low Fat,Canned,2015,OUT045,Tier 2,Medium,Supermarket Type1,12,57
FDT37,Low Fat,Canned,2015,OUT045,Tier 2,Medium,Supermarket Type1,14,254
FDX26,Low Fat,Dairy,2015,OUT045,Tier 2,Medium,Supermarket Type1,18,181
FDX16,Low Fat,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,18,149
FDA56,Low Fat,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,9,120
FDP07,Low Fat,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,18,197
NCD43,Low Fat,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,9,107
NCT06,Low Fat,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,17,166
NCI18,Low Fat,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,18,224
NCB43,Low Fat,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,20,188
FDQ39,Low Fat,Meat,2015,OUT045,Tier 2,Small,Supermarket Type1,15,189
FDK45,Low Fat,Seafood,2015,OUT045,Tier 2,Small,Supermarket Type1,12,112
FDK33,Low Fat,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,18,212
FDK48,Low Fat,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,7,76
FDH48,Low Fat,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,14,85
FDZ38,Low Fat,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,18,174
DRH39,Low Fat,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,21,75
FDK04,Low Fat,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,7,56
FDQ16,Low Fat,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,20,109
FDX20,Low Fat,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,7,228
FDC44,Low Fat,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,16,114
DRK23,Low Fat,Hard Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,8,252
DRO47,Low Fat,Hard Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,10,114
DRJ23,Low Fat,Hard Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,18,188
NCL53,Low Fat,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,8,175
NCI17,Low Fat,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,9,95
NCL29,Low Fat,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,10,156
NCA53,Low Fat,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,11,47
NCV41,Low Fat,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,14,110
NCP06,Low Fat,Household,2020,OUT017,Tier 2,High,Supermarket Type1,21,152
FDP39,Low Fat,Meat,2020,OUT017,Tier 2,High,Supermarket Type1,13,54
FDV51,Low Fat,Meat,2020,OUT017,Tier 2,High,Supermarket Type1,16,166
FDL10,Low Fat,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,8,100
FDT12,Regular,Baking Goods,2015,OUT045,Tier 2,High,Supermarket Type1,6,225
FDD26,Regular,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,9,186
FDN16,Regular,Frozen Foods,2015,OUT045,Tier 2,High,Supermarket Type1,13,105
FDG56,Regular,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,13,61
FDT55,Regular,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,14,158
FDH20,Regular,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,16,98
FDK32,Regular,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,16,154
FDT09,Regular,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,15,130
FDA47,Regular,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,10,164
FDS11,Regular,Breads,2020,OUT017,Tier 2,High,Supermarket Type1,7,222
FDL13,Regular,Breakfast,2020,OUT017,Tier 2,High,Supermarket Type1,14,234
FDA04,Regular,Frozen Foods,2020,OUT017,Tier 2,High,Supermarket Type1,11,258
FDF21,Regular,Fruits and Vegetables,2020,OUT017,Tier 2,Medium,Supermarket Type1,10,192
FDR15,Regular,Meat,2020,OUT017,Tier 2,Medium,Supermarket Type1,9,156
FDM51,Regular,Meat,2020,OUT017,Tier 2,Medium,Supermarket Type1,12,100
FDN46,Regular,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,7,103
FDI58,Regular,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,8,95
FDM57,Regular,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,12,85
FDY33,Regular,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,14,160
FDU02,Low Fat,Dairy,2020,OUT017,Tier 2,Medium,Supermarket Type1,13,230
FDD32,Regular,Fruits and Vegetables,2020,OUT017,Tier 2,Medium,Supermarket Type1,18,81
FDB57,Regular,Fruits and Vegetables,2020,OUT017,Tier 2,Medium,Supermarket Type1,20,221
NCP06,Low Fat,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,21,153
FDV23,Low Fat,Breads,2017,OUT035,Tier 2,Small,Supermarket Type1,11,126
FDH38,Low Fat,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,6,116
FDX37,Low Fat,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,16,100
FDN02,Low Fat,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,16,207
FDU04,Low Fat,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,8,122
FDX40,Low Fat,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,13,38
FDX20,Low Fat,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,7,225
FDX55,Low Fat,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,15,216
DRK11,Low Fat,Hard Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,8,150
DRL23,Low Fat,Hard Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,18,105
NCN05,Low Fat,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,8,185
NCH43,Low Fat,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,8,216
FDA33,Low Fat,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,6,147
FDX58,Low Fat,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,13,183
FDA21,Low Fat,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,14,185
FDG59,Low Fat,Starchy Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,16,38
FDL12,Regular,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,16,60
FDU37,Regular,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,10,78
FDE14,Regular,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,14,100
FDB14,Regular,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,20,94
FDT26,Regular,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,19,119
FDS19,Regular,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,14,76
FDH31,Regular,Meat,2017,OUT035,Tier 2,Small,Supermarket Type1,12,100
FDO15,Regular,Meat,2017,OUT035,Tier 2,Small,Supermarket Type1,17,73
FDG34,Regular,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,12,110
FDH47,Regular,Starchy Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,14,95
FDL38,Regular,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,14,91
DRL60,Low Fat,Soft Drinks,2011,OUT010,Tier 3,Medium,Grocery Store,9,154
FDK38,Low Fat,Canned,2011,OUT010,Tier 3,Medium,Grocery Store,7,147
FDR02,Low Fat,Dairy,2011,OUT010,Tier 3,Medium,Grocery Store,17,109
DRI51,Low Fat,Dairy,2011,OUT010,Tier 3,Medium,Grocery Store,17,170
FDC41,Low Fat,Frozen Foods,2011,OUT010,Tier 3,Medium,Grocery Store,16,77
NCM05,Low Fat,Health and Hygiene,2011,OUT010,Tier 3,Medium,Grocery Store,7,263
NCI29,Low Fat,Health and Hygiene,2011,OUT010,Tier 3,Medium,Grocery Store,9,141
NCR53,Low Fat,Health and Hygiene,2011,OUT010,Tier 3,Medium,Grocery Store,12,227
NCF06,Low Fat,Household,2011,OUT010,Tier 3,Medium,Grocery Store,6,259
NCV42,Low Fat,Household,2011,OUT010,Tier 3,Medium,Grocery Store,6,111
NCU54,Low Fat,Household,2011,OUT010,Tier 3,Medium,Grocery Store,9,208
NCK18,Low Fat,Household,2011,OUT010,Tier 3,Medium,Grocery Store,10,167
NCC30,Low Fat,Household,2011,OUT010,Tier 3,Medium,Grocery Store,17,177
NCF42,Low Fat,Household,2011,OUT010,Tier 3,Medium,Grocery Store,17,178
FDP15,Low Fat,Meat,2011,OUT010,Tier 3,High,Grocery Store,15,256
DRB25,Low Fat,Soft Drinks,2011,OUT010,Tier 3,High,Grocery Store,12,107
FDM02,Regular,Canned,2011,OUT010,Tier 3,High,Grocery Store,12,86
FDA01,Regular,Canned,2011,OUT010,Tier 3,High,Grocery Store,15,60
FDI16,Regular,Frozen Foods,2011,OUT010,Tier 3,High,Grocery Store,14,54
FDV28,Regular,Frozen Foods,2011,OUT010,Tier 3,High,Grocery Store,16,35
FDF08,Regular,Fruits and Vegetables,2011,OUT010,Tier 3,High,Grocery Store,14,88
FDW51,Regular,Meat,2011,OUT010,Tier 3,High,Grocery Store,6,214
FDB58,Regular,Snack Foods,2011,OUT010,Tier 3,High,Grocery Store,10,141
FDZ59,Regular,Baking Goods,2011,OUT010,Tier 3,Small,Grocery Store,7,167
FDK36,Low Fat,Baking Goods,2014,OUT013,Tier 3,High,Supermarket Type1,7,48
FDZ27,Low Fat,Dairy,2014,OUT013,Tier 3,High,Supermarket Type1,8,50
FDS48,Low Fat,Baking Goods,2014,OUT013,Tier 3,High,Supermarket Type1,15,150
FDC02,Low Fat,Canned,2014,OUT013,Tier 3,High,Supermarket Type1,21,260
FDI15,Low Fat,Dairy,2014,OUT013,Tier 3,High,Supermarket Type1,14,264
DRJ39,Low Fat,Dairy,2014,OUT013,Tier 3,High,Supermarket Type1,20,218
FDT40,Low Fat,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,6,126
FDE29,Low Fat,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,9,62
FDT28,Low Fat,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,13,150
FDK41,Low Fat,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,14,87
FDE45,Low Fat,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,12,180
FDZ20,Low Fat,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,16,255
FDT31,Low Fat,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,20,190
FDP20,Low Fat,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,20,128
DRM59,Low Fat,Hard Drinks,2014,OUT013,Tier 3,High,Supermarket Type1,6,156
DRL35,Low Fat,Hard Drinks,2014,OUT013,Tier 3,High,Supermarket Type1,16,45
DRP35,Low Fat,Hard Drinks,2014,OUT013,Tier 3,High,Supermarket Type1,19,127
NCU17,Low Fat,Health and Hygiene,2014,OUT013,Tier 3,High,Supermarket Type1,5,102
NCU53,Low Fat,Health and Hygiene,2014,OUT013,Tier 3,High,Supermarket Type1,5,165
NCT05,Low Fat,Health and Hygiene,2014,OUT013,Tier 3,High,Supermarket Type1,11,257
NCC19,Low Fat,Household,2014,OUT013,Tier 3,High,Supermarket Type1,7,192
NCV54,Low Fat,Household,2014,OUT013,Tier 3,High,Supermarket Type1,11,117
NCF19,Low Fat,Household,2014,OUT013,Tier 3,High,Supermarket Type1,13,48
NCE30,Low Fat,Household,2014,OUT013,Tier 3,High,Supermarket Type1,16,213
NCG19,Low Fat,Household,2014,OUT013,Tier 3,High,Supermarket Type1,20,235
FDT21,Low Fat,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,7,248
FDT57,Low Fat,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,15,239
FDP46,Low Fat,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,15,92
FDZ09,Low Fat,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,18,165
DRF13,Low Fat,Soft Drinks,2014,OUT013,Tier 3,High,Supermarket Type1,12,145
DRG36,Low Fat,Soft Drinks,2014,OUT013,Tier 3,High,Supermarket Type1,14,172
FDJ12,Regular,Baking Goods,2014,OUT013,Tier 3,High,Supermarket Type1,9,209
FDZ49,Regular,Canned,2014,OUT013,Tier 3,High,Supermarket Type1,11,222
FDW52,Regular,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,14,164
FDY16,Regular,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,18,185
FDZ43,Regular,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,11,242
FDE33,Regular,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,19,77
FDU43,Regular,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,19,239
FDU51,Regular,Meat,2014,OUT013,Tier 3,High,Supermarket Type1,20,179
FDW21,Regular,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,5,102
FDI21,Regular,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,6,63
FDI58,Regular,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,8,91
FDJ21,Regular,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,17,148
NCJ29,Low Fat,Health and Hygiene,2014,OUT013,Tier 3,High,Supermarket Type1,11,84
FDW09,Regular,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,14,81
FDB45,Low Fat,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,21,105
FDO37,Low Fat,Breakfast,2022,OUT018,Tier 3,Medium,Supermarket Type2,8,233
FDO25,Low Fat,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,6,210
FDY25,Low Fat,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,12,180
FDX02,Low Fat,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,16,224
FDK16,Low Fat,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,9,95
FDB08,Low Fat,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,6,160
FDS55,Low Fat,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,7,148
FDU55,Low Fat,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,16,260
NCH42,Low Fat,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,7,230
NCO02,Low Fat,Others,2022,OUT018,Tier 3,Medium,Supermarket Type2,11,66
FDK22,Low Fat,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,10,216
FDC58,Low Fat,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,10,43
FDP58,Low Fat,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,11,220
FDV48,Regular,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,9,77
FDK60,Regular,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,16,99
FDS59,Regular,Breads,2022,OUT018,Tier 3,Medium,Supermarket Type2,15,109
FDN25,Regular,Breakfast,2022,OUT018,Tier 3,Medium,Supermarket Type2,8,58
FDG38,Regular,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,9,85
FDM02,Regular,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,12,88
FDY28,Regular,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,7,214
FDT16,Regular,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,10,260
FDQ40,Regular,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,11,176
FDU28,Regular,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,19,188
FDC57,Regular,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,20,194
FDN46,Regular,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,7,103
FDT10,Regular,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,17,61
FDZ33,Low Fat,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,10,147
FDU28,Regular,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,19,188
FDE51,Regular,Dairy,2011,OUT010,Tier 3,Small,Grocery Store,6,46
FDU02,Low Fat,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,13,231
FDA46,Low Fat,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,14,193
FDL12,Regular,Baking Goods,2014,OUT013,Tier 3,High,Supermarket Type1,16,59
FDQ10,Low Fat,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,13,172
FDZ16,Regular,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,17,192
FDR28,Regular,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,14,162
FDX20,Low Fat,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,7,226
DRF49,Low Fat,Soft Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,7,114
DRL01,Regular,Soft Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,20,233
FDB35,Regular,Starchy Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,12,93
NCN55,Low Fat,Others,2012,OUT049,Tier 1,Medium,Supermarket Type1,15,239
FDG52,Low Fat,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,14,46
FDR44,Regular,Fruits and Vegetables,2011,OUT010,Tier 3,Small,Grocery Store,6,131
FDX15,Low Fat,Meat,2014,OUT013,Tier 3,High,Supermarket Type1,17,161
DRJ13,Low Fat,Soft Drinks,2014,OUT013,Tier 3,High,Supermarket Type1,13,162
FDF14,Low Fat,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,8,152
FDU44,Regular,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,12,163
FDT39,Regular,Meat,2017,OUT035,Tier 2,Small,Supermarket Type1,6,151
FDE08,Low Fat,Fruits and Vegetables,2011,OUT010,Tier 3,Small,Grocery Store,18,147
NCQ54,Low Fat,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,18,167
FDX19,Low Fat,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,19,235
FDS33,Regular,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,7,89
DRI37,Low Fat,Soft Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,16,60
FDU09,Regular,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,8,55
FDH26,Regular,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,19,142
FDL51,Regular,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,21,213
NCA54,Low Fat,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,16,180
FDB34,Low Fat,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,15,86
FDT57,Low Fat,Snack Foods,2011,OUT010,Tier 3,Small,Grocery Store,15,235
NCE19,Low Fat,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,9,53
FDZ38,Low Fat,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,18,174
FDF10,Regular,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,16,149
FDO28,Low Fat,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,6,120
FDU25,Low Fat,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,12,56
FDA40,Regular,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,16,87
FDQ37,Low Fat,Breakfast,2011,OUT010,Tier 3,Medium,Grocery Store,21,193
NCX42,Low Fat,Household,2015,OUT045,Tier 2,Medium,Supermarket Type1,6,164
NCD19,Low Fat,Household,2011,OUT010,Tier 3,Medium,Grocery Store,9,56
DRG01,Low Fat,Soft Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,15,76
DRH13,Low Fat,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,9,106
FDO22,Regular,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,14,82
DRE25,Low Fat,Soft Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,15,92
NCF42,Low Fat,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,17,176
FDZ01,Regular,Canned,2011,OUT010,Tier 3,Medium,Grocery Store,9,102
FDY51,Low Fat,Meat,2022,OUT018,Tier 3,Medium,Supermarket Type2,12,221
FDS19,Regular,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,14,77
FDG20,Regular,Fruits and Vegetables,2011,OUT010,Tier 3,Medium,Grocery Store,16,178
FDR24,Regular,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,17,88
NCI43,Low Fat,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,20,46
FDG21,Regular,Seafood,2022,OUT018,Tier 3,Medium,Supermarket Type2,17,150
FDF40,Regular,Dairy,2020,OUT017,Tier 2,Medium,Supermarket Type1,20,248
FDA01,Regular,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,15,59
DRC12,Low Fat,Soft Drinks,2020,OUT017,Tier 2,Medium,Supermarket Type1,18,189
FDY35,Regular,Breads,2015,OUT045,Tier 2,Medium,Supermarket Type1,18,47
FDH20,Regular,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,16,95
FDA15,Low Fat,Dairy,2015,OUT045,Tier 2,Medium,Supermarket Type1,9,250
FDS31,Regular,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,13,179
FDS49,Low Fat,Canned,2020,OUT017,Tier 2,Medium,Supermarket Type1,9,80
FDZ35,Regular,Breads,2016,OUT046,Tier 1,Small,Supermarket Type1,10,102
DRM48,Low Fat,Soft Drinks,2015,OUT045,Tier 2,Medium,Supermarket Type1,15,39
NCA05,Low Fat,Health and Hygiene,2020,OUT017,Tier 2,Medium,Supermarket Type1,21,147
FDC09,Regular,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,16,102
FDQ21,Low Fat,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,21,121
FDK28,Low Fat,Frozen Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,6,259
FDJ56,Low Fat,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,9,100
FDU36,Low Fat,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,6,97
FDR23,Low Fat,Breads,2012,OUT049,Tier 1,Medium,Supermarket Type1,16,178
FDN13,Low Fat,Breakfast,2012,OUT049,Tier 1,Medium,Supermarket Type1,19,99
FDK02,Low Fat,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,12,120
FDD02,Low Fat,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,17,117
DRD15,Low Fat,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,11,232
FDE29,Low Fat,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,9,62
FDD28,Low Fat,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,11,57
FDD29,Low Fat,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,12,255
FDE09,Low Fat,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,9,111
FDI45,Low Fat,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,13,176
FDA32,Low Fat,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,14,216
FDZ20,Low Fat,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,16,253
FDT43,Low Fat,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,16,52
FDT44,Low Fat,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,17,117
FDN32,Low Fat,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,18,185
FDR08,Low Fat,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,19,111
DRN35,Low Fat,Hard Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,8,37
DRH23,Low Fat,Hard Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,15,55
NCK17,Low Fat,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,11,38
NCS05,Low Fat,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,12,131
NCK53,Low Fat,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,12,98
NCR41,Low Fat,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,18,97
NCS17,Low Fat,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,19,93
NCV17,Low Fat,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,19,130
NCL05,Low Fat,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,20,43
NCZ30,Low Fat,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,7,119
NCE31,Low Fat,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,8,33
NCY54,Low Fat,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,8,174
NCE19,Low Fat,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,9,56
NCO54,Low Fat,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,20,54
NCA06,Low Fat,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,20,35
NCL19,Low Fat,Others,2012,OUT049,Tier 1,Medium,Supermarket Type1,15,141
NCM55,Low Fat,Others,2012,OUT049,Tier 1,Medium,Supermarket Type1,16,186
NCI31,Low Fat,Others,2012,OUT049,Tier 1,Medium,Supermarket Type1,20,37
FDX34,Low Fat,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,6,119
FDM46,Low Fat,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,7,94
